Article.number,Title,Authors,DOI,Year.of.publication,Scale.of.study,Type.of.literature,Type.of.study,Research.type,Primary.focus.areas,Secondary.focus.areas,General.disease,General.vector,Ecosystem,Main.findings,Latitude,Longitude
134,Abundance of impacted forest patches less than 5 km2 is a key driver of the incidence of malaria in Amazonian Brazil.,"L. S. M. Chaves, J. E. Conn, R. V. M. Lopez & M. A. M. Sallum",10.1038/s41598-018-25344-5,2018,Regional,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Malaria,Mosquito,Terrestrial,"Results of the analyses conducted for this study indicate a strong positive correlation between the number of malaria cases, deforestation and forest degradation in the Brazilian Amazon forest frontier.",-7.659578307,-58.17117505
135,Incorporating biodiversity responses to land use change scenarios for preventing emerging zoonotic diseases in areas of unknown host-pathogen interactions,"F. de Oliveira Roque, B. Bellon, A. Guerra, F. Valente-Neto, C. C. Santos, I. Melo, A. N. Arcos, A. G. de Oliveira, A. V. Nunes, C. de Araujo Martins, F. L. Souza, H. Herrera, L. E. R. Tavares, M. Almeida-Gomes, O. Pays, PC. Renaud, S. P. G. Barrios, L. Yon, G. Bowsher, R. Sullivan, M. Johnson, C. E. V. Grelle & J. M. Ochoa-Quintero",10.3389/fvets.2023.1229676,2023,Regional,Scientific literature,Degradation,Field study,Biodiversity,Public health,NA,NA,Terrestrial,Those species increasingly occupying deforested areas are also shorter-lived species for which high infectiousness and consequently probability of transmission is most likely to take place.,-20.55823657,-56.72445436
136,Landscapes with different biodiversity influence distribution of small mammals and their ectoparasitic chigger mites: A comparative study from southwest China,"PY. Peng, XG. Guo, DC. Jin, WG. Dong, TJ. Qian, F. Qin, ZH. Yang & R. Fan",10.1371/journal.pone.0189987,2018,Regional,Scientific literature,Degradation,Field study,Biodiversity,Zoonoses/Infectious diseases,Tsutsugamushi disease,Multiple,Terrestrial,The decrease of species diversity and the quantity increase of reservoir rodent hosts and vector chigger mites would likely increase the potential risk of the spread of tsutsugamushi diseases and some other related zoonoses.,21.46533769,101.5659945
138,"Rodent abundance, diversity and community structure in a bubonic plague endemic area, northern Tanzania","S. T. Kessy, R. H. Makundi, C. Sabuni, A. W. Massawe & A. A. Rija",10.1515/mammalia-2023-0012,2023,Regional,Scientific literature,Degradation,Field study,Biodiversity,Zoonoses/Infectious diseases,Plague,Rodents,Terrestrial,There was significantly higher abundance and species richness in persistent than non-persistent plague locality.,-3.859630745,35.54609275
141,Comparison of deforestation and forest land use factors for malaria elimination in Myanmar,"A. Hoffman-Hall, R. Puett, J. A. Silva, D. Chen, A. Bredder, V. Shevade, Z. Y. Han, K. T. Han, P. P. Aung, C. V. Plowe, M. M. Nyunt & T. V. Loboda",10.1016/j.ijregi.2023.06.006,2023,Regional,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Malaria,Mosquito,Terrestrial,"Our results confirm previous research that linked areas of high forest cover with high malaria prevalence. However, areas experiencing high levels of deforestation were not associated with malaria prevalence. ",19.74959684,94.02617513
146,Habitat loss for black flying foxes and implications for Hendra virus,K. Baranowski & N. Bharti,10.1007/s10980-023-01642-w,2023,Regional,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Hendravirus,Bats,Terrestrial,"Removal of remnant forests and habitats has led to the persistent fissioning of flying fox populations, while also attracting them towards the increased reliability of urban resources near human populations.",-27.55362505,153.0149818
149,Association of rodent-borne Leptospira spp. with urban environments in Malaysian Borneo,"K. R. Blasdell, S. Morand, D. Perera & C. Firth",10.1371/journal.pntd.0007141,2019,Regional,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Leptospirosis,Rodents,Terrestrial,"We identified an unexpected association between the presence of L. interrogans and reduced forest cover at a site, which may indicate that transmission is favored in more cleared (and disturbed) habitats.",1.507088593,110.2667419
150,"The role of deforestation on American cutaneous leishmaniasis incidence: spatial-temporal distribution, environmental and socioeconomic factors associated in the Brazilian Amazon","M. G. de Almeida Rodrigues, J. D. de Brito Sousa, A. L. B. Dias, W. M. Monteiro & V. de Souza Sampaio",10.1111/tmi.13196,2019,Regional,Scientific literature,Degradation,Hypothesis/theoretical,Zoonoses/Infectious diseases,Public health,Leishmaniasis,Sand fly,Terrestrial,The average proportion of deforestation was negatively associated with the average incidence rate of cutaneous leishmaniasis in municipalities.,-3.896687967,-63.79658113
151,"Effects of anthropogenic landscape changes on the abundance and acrodendrophily of Anopheles (Kerteszia) cruzii, the main vector of malaria parasites in the Atlantic Forest in Brazil","A. R. Medeiros-Sousa, R. de Oliveira Christe, A. M. R. de Castro Duarte, L. F. Mucci, W. Ceretti-Junior & M. T. Marrelli",10.1186/s12936-019-2744-8,2019,Regional,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Malaria,Mosquito,Terrestrial,The data indicates that changes in landscape due to human activities leads to a reduction in An. cruzii abundance.,-23.9396,-46.6943
157,"Linking Lyme disease ecology and epidemiology: reservoir host identity, not richness, determines tick infection and human disease in California","A. J. MacDonald, S. McComb & S. Sambado",10.1088/1748-9326/ac9ece,2022,Regional,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,Biodiversity,Lyme disease,Ticks,Terrestrial,While the relationship between host community richness and tick infection is suggestive of a dilution effect with lower species richness associated with higher infection probability host richness itself does not meaningfully contribute to our models of entomologic risk of Lyme disease.,37.229722,-119.509444
158,"Predicting spatio-temporal population patterns of Borrelia burgdorferi, the Lyme disease pathogen","T. Tran, M. A. Prusinski, J. L. White, R. C. Falco, J. Kokas, V. Vinci, W. K. Gall, K. J. Tober, J. Haight, J. Oliver, LA. Sporn, L. Meehan, E. Banker, P. B. Backenson, S. T. Jensen & D. Brisson",10.1111/1365-2664.14274,2022,Regional,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Lyme disease,Ticks,Terrestrial,"The model indicates that NIP is negatively associated with landscape features representing habitat disturbance like recent wildfire, patch connectivity, human population size and critical environment designations. However, some features like wildfire affect the continuity of fauna and can increase the abundance of small mammal and generalist species, which are thought to provide more optimal pathogen conditions. This apparent contradiction may be explained by the positive association between habitat fragmentation and tick population sizes. Tick abundance has significantly increased throughout NYS which is a strong predictor of human Lyme disease risk regardless of B. burgdorferi prevalence.",41.48090976,-74.141701
166,Effect of climate change and deforestation on vector borne diseases in the North-Eastern Indian State of Mizoram bordering Myanmar,"B. Karuppusamy, D. K. Sarma, P. Lalmalsawma, L. Pautu, K. Karmodiya & P. B. Nina",10.1016/j.joclim.2021.100015,2021,Regional,Scientific literature,Degradation,Hypothesis/theoretical,Zoonoses/Infectious diseases,,Mosquito-borne diseases,Mosquito,Terrestrial,"The decrease in the dense forest cover (~3000 sq.km) was three times higher than the net forest cover. However, the continuous stable transmission of malaria in this region, while it has steeply decreased in other parts of the country, strongly suggests an important association between deforestation and malaria transmission.",23.7536,92.7328
167,Anthropogenic landscape decreases mosquito biodiversity and drives malaria vector proliferation in the Amazon rainforest,"L. S. M. Chaves, E. S. Bergo, J. E. Conn, G. Z. Laporta, P. R. Prist & M. A. M. Sallum",10.1371/journal.pone.0245087,2021,Regional,Scientific literature,Degradation,Field study,Biodiversity,Zoonoses/Infectious diseases,Malaria,Mosquito,Terrestrial,"Anthropogenic changes in the Amazon vegetation classes decreased mosquito biodiversity, leading to increased Ny. darlingi abundance. Changes in landscape structure, specifically decreases in PLAND and increases in ED, led to Ny. darlingi becoming the dominant species, increasing malaria risk.",-10.07390616,-67.05271704
