Article type,Article source,DOI,Title,Year,Language,Coordinates,Geographical location,Country,Scale,Theme,Infectious disease,General disease,Disease by transmission type,Pathogen group,Vector/reservoir/host,General Vectors,Method to assess disease risk,Ecosystem,Recommendations proposed,Research type,Knowledge areas,Type of Restoration,Impact of landscape degradation on disease,Impact of landscape restoration on disease,Impact on human-wildlife interactions,Evidence for Landscape restoration on disease outbreaks,Evidence for Landscape degradation on disease outbreaks,Evidence for effects on human-wildlife interactions,Are Socioeconomic factors taken into account,Limitations and challenges,Knowledge gaps/future research,Recommendations and proposed solutions,Risk of bias,Imprecision,Inconsistency ,Reporting bias,Quality of evidence (GRADE),Reviewer assigned,Reviewer Confidence,Reviewed,Conflict of interest
Original article,Web of science,10.1007/s10980-023-01634-w,"Relative effects of urbanisation, deforestation, and agricultural development on mosquito communities",2023,English,yes,Switzerland,Switzerland,National,Disease dynamics at the human/wildlife/livestock/ pathogen interface at degraded landscapes,NA,NA,Vector-borne,multiple,Mosquito,Mosquito,Environment sampling,Terrestrial,Yes,Field study,Lessons learnt,Land Use Change,Direct,No,Indirect,NA,"In Switzerland, urbanisation and deforestation have a greater influence on mosquito diversity than agricultural development, and do not act at the same scale. Conversely, the scale of effect on mosquito abundance is relatively similar across the different landscape anthropisation components or across mosquito species, except for Culex pipiens. However, the effect size of each landscape component varies according to mosquito species.",NA,NA,"First, without an approach to determine the scale of effects, we would not have highlighted all significant effects of landscape anthropisation. Second, we found an effect of the three landscape components and studies focusing on a single one could miss a potentially significant effect of landscape anthropisation on biodiversity. Finally, we showed a significant effect of urbanisation and deforestation on mosquito diversity but not at the same scale.",NA,"there is no simple guideline for landscape management and planning because the scale of management depends on the biological response and the species considered which must be selected according to the conservation concern. In the case of mosquitoes in Switzerland, if the management focuses on the increase of mosquito diversity to maintain high interspecific competition and thus limit the proliferation of disease vector species, it is necessary to maximise forest areas and limit highly urbanised areas in the few hundred meters around mosquito breeding areas. However, if the conservation concerns involve Cx. pipiens, an important vector of many viruses and other pathogens and the most abundant mosquito species in our study areas, it is also necessary to maximise forests and limit highly urbanised areas around mosquito breeding sites, but on a much larger scale.",Medium,Medium,,Medium,Medium,SJ,High,TRUE,FALSE
Review,citation chasing,10.3197/jps.2019.3.2.13.,"Felling trees, furthering malaria: links between deforestation and disease in developing nations",2019,English,no,Global,Global,Global,Disease dynamics at the human/wildlife/livestock/ pathogen interface at degraded landscapes,Malaria,Malaria,Vector-borne,protozoan,Mosquito,Mosquito,Historical data,Terrestrial,No,Review,Knowledge gaps,Land Use Change,Direct,No,None,NA,"The processes linking forest loss to malaria vulnerabilities are diverse but, fundamentally, many studies find that there are more malaria parasites or mosquito larvae in deforested areas or areas on the forest fringe (the edge of deforested areas) in comparison to areas of intact forest (e.g. Barros et al., 2015; Bonneaud et al., 2008; Caldas de Castro et al., 2006; Nath et al., 2012; Olson et al., 2010; Saxena et al., 2014; Vanwambeke et al, 2007; Wayant et al., 2010). Deforestation’s impact on local temperatures is a subject of detailed examination in current research. As forest cover is lost, temperatures increase, and generally, the incubation period of malaria parasites and the speed of larval development is inversely correlated with temperature (Afrane et al., 2008, 2012; Kweka et al, 2016; Himeidan et al., 2012; Nath et al., 2012; Patz et al, 2006). Amazingly, a mere half-degree centigrade increase in temperature can translate into a 30% to 100% increase in mosquito abundance (Pascaul et al., 2006).Vittor and colleagues (2006) arrive at a similar conclusion in their research conducted in the Peruvian Amazon. They tested fifty-six sites with varying degrees of deforestation over several weeks and found that Anopheles darlingi was captured in the greatest quantities at sites with little remaining forest. Furthermore, deforested sites had biting rates that were more than 278 times greater than in areas that were predominantly forested (Vittor et al., 2006). It should also be acknowledged that not all studies find a link between land cover change and malaria, as some demonstrate no link or point out that deforestationmay decrease malaria rates over the long-term, as explained above. Inconsistenciesin the literature may be due to differences in research methods, land changedefinitions, study approach or design, scale, or locational focus (Lima et al., 2017). ",NA,NA,NA,NA,NA,Medium,,Medium,Medium,Medium,AF,High,TRUE,FALSE
Original article,Web of science,10.1007/s10980-023-01642-w,Habitat loss for black flying foxes and implications for Hendra virus,2023,English,yes,"Queensland, Australia",Australia,Regional,Impact of landscape degradation on spillover risk and disease outbreaks in humans.,Hendra virus disease,Hendravirus,Zoonoses,Virus,black flying foxes (Pteropus alecto),Bats,Environment sampling,Terrestrial,No,Field study,Lessons learnt,Land Use Change,Direct,No,None,NA,"Native remnant forest loss and winter habitat loss were not directly linked to spatial human population growth. Rather, most remnant vegetation was cleared for indirect human use. We observed forest loss and regrowth in response to state land clearing policies.","While our measures of anthropogenic land pressure, forest loss, winter habitat loss, and declines in wildlife populations are correlative, evidence shows humans can influence flying fox foraging and roosting ecology; foraging studies of Australian flying foxes suggest the increased availability of resources in urban areas may attract grey-headed flying foxes (Roberts et al. 2012; Welbergen et al. 2020; Meade et al. 2021; Yabsley et al. 2021) and spectacled flying foxes (Tait et al. 2014) and entice them to roost in those areas continuously, rather than in less disturbed environments",NA,"Our analysis considered the maximum potential amount of remnant winter habitat extent and winter habitat loss, which almost certainly overestimates both. We included all heterogeneous patches with a winter diet species listed within the first five species of the vegetation community description. This may be too inclusive for some regional ecosystems, and resource abundance in some included regional ecosystems may be negligible for flying foxes. We only included mapped areas that meet the Queensland Herbarium’s definition of ‘remnant’ vegetation and spatial accuracy across the study area can vary. There were likely patches of habitat degraded below this standard that could have been productive winter habitats useful for flying foxes. We also acknowledge the sampling bias of the flying fox surveys toward previously established roosts in human-inhabited, accessible areas used by grey-headed flying foxes and spectacled flying foxes likely impacted the extent of our study area.",NA,NA,Medium,Medium,,Medium,Medium,SJ,High,TRUE,FALSE
Original article,Web of science,10.1111/1365-2664.13289.,Missing the people for the trees: Identifying coupled natural-human system feedbacks driving the ecology of Lyme disease,2019,English,no,Northeastern USA,USA,Multi-region,Disease dynamics at the human/wildlife/livestock/ pathogen interface at degraded landscapes,Lyme disease,Lyme disease,Vector-borne,bacteria,NA,NA,Historical data,Terrestrial,Yes,Hypothesis/theoretical,Model,Land Use Change,Direct,No,Indirect,NA,"We illustrate this effect here, where the coefficient estimates for ecological forest fragmentation metrics (e.g., edge density, average patch size) and model results are unstable and even contradict each other, mirroring the ambiguity in the literature (Brownstein et al., 2005; Cromley et al., 1998; Jackson et al., 2006; Robinson et al., 2015; Seukep et al., 2015; Tran & Waller, 2014), when human interaction with high-risk areas of the landscape is ignored. In contrast, we find that human interaction with fragmented forest landscapes consistently leads to an increase in LDI in the northeastern United States, regardless of what additional forest fragmentation metrics are included in the model. This suggests that forest fragmentation and habitat degradation alone cannot explain patterns of human Lyme disease.","It stands to reason that, all else equal, human LDI should increase with increasing entomological risk. However, such a relationship would require the human component of the system be static in the face of disease risk; in other words, it would require the assumption that humans are not, by nature, risk reducing. This is an unrealistic assumption. Here, we illustrated that ambiguity in the previous literature, where fragmentation seems to consistently increase entomological risk but have the opposite or no effect on human incidence, may stem from overlooking human interaction with risky landscapes, and human risk-reducing behaviour.",NA,"Measurement error associated with individual-level health data may be as severe as more aggregated county-level data due to uncertainty surrounding where precisely the tick bite occurred, and the possibility that more spatially refined data on town or exact location of residence may not capture the landscape attributes associated with the tick bite itself.","While the results of our county-level analysis are robust and consistent, spatial scale may influence the relationship between forest fragmentation and human Lyme disease (Cohen et al., 2016). If higher spatial resolution case reporting data (e.g., town or census block) were made available across the northeastern United States, future studies could use the approach we have developed here to explore the consistency of the relationship across different scales of analysis.",NA,Medium,Medium,,Medium,Medium,AF,High,TRUE,FALSE
Original article,Web of science,10.1038/s41893-023-01080-1,Human footprint is associated with shifts in the assemblages of major vector-borne diseases,2023,English,no,Brazil,Brazil,National,Disease dynamics at the human/wildlife/livestock/ pathogen interface at degraded landscapes,VBD,Mutliple,Vector-borne,multiple,Multiple,Multiple,Historical data,Terrestrial,No,Hypothesis/theoretical,Lessons learnt,Land Use Change,Direct,No,Direct,NA,"we found that human footprint had an increasing relationship with disease occurrence for the urban diseases (dengue, chikungunya and Zika) and a decreasing relationship for the sylvatic or frontier diseases (malaria and cutaneous leishmaniasis). The relationship of visceral leishmaniasis, a formerly rural disease now expanding into peri-urban areas25, with human footprint was a hybrid of the responses of urban and sylvatic diseases, steeply declining with a human footprint between 8 and 17 then increasing with a human footprint above 17. ","Comparing six important VBDs in Brazil, we found that human footprint is an important predictor of local occurrence and that its nonlinear effects vary predictably with the transmission ecology of each VBD. In a critical window in which human footprint changes from moderate (4–7) to high (7–12) to intense (>12), disease occurrence abruptly shifts from malaria, cutaneous leishmaniasis and visceral leishmaniasis to dengue, chikungunya and Zika","We find that not only is human footprint—an index of human pressure, incorporating built environments, energy and transportation infrastructure, agricultural lands and human population density—an important predictor of VBD occurrence, but there are clear thresholds governing the occurrence of different VBDs. Across a spectrum of human pressure, diseases associated with lower human pressure, including malaria, cutaneous leishmaniasis and visceral leishmaniasis, give way to diseases associated with high human pressure, such as dengue, chikungunya and Zika. These heterogeneous responses of VBDs to human pressure highlight thresholds of land-use transitions that may lead to abrupt shifts in infectious disease burdens and public health needs.","First, this study is observational and does not necessarily capture underlying causal mechanisms. It is subject to under-reporting of disease cases (particularly for pathogens that frequently cause asymptomatic infection) and measurement error and autocorrelation among environmental covariates. Second, while human footprint represents an important advance in globally accessible, high-resolution mapping of multidimensional impacts of humans on landscapes, it is currently only available for recent time periods and is updated infrequently. As a result, we had to interpolate between 2013 and 2019 and across two methods (the original computation and a validated machine learning method2,18) to calculate human footprint for each study year. Third, the socio-ecological predictors of disease occurrence may not be the same as the drivers of outbreak size, so the areas that have a high probability of disease occurrence are not necessarily those with the highest disease risk or burden.",NA,"Understanding how the ecology of Lyme disease translates into human disease burden is fundamental to understanding how to reduce disease burden now and in the face of a rapidly changing world. Here, we illustrate the importance of human response to risk in driving patterns of Lyme disease in human populations, and suggest examining land-use regulations as one possible means to reduce Lyme disease burden in the eastern United States. Lastly, our methodological approach provides a valuable framework for explicitly incorporating coupled natural–human system feedbacks to better understand and identify both human and ecological drivers of zoonotic disease, which is relevant far beyond the Lyme disease system. As land use and climate change, biodiversity is lost and infectious diseases continue to emerge, it is increasingly critical that we identify the ecological and human drivers of disease and pursue actionable, policy-relevant solutions.",Medium,Medium,,High,Medium,SJ,High,TRUE,FALSE
Original article,Web of science,10.1371/journal.pntd.0007141.,Association of rodent-borne Leptospira spp. with urban environments in Malaysian Borneo,2019,English,yes,"Borneo, Malaysia",Malaysia,Regional,Disease dynamics at the human/wildlife/livestock/ pathogen interface at degraded landscapes,Leptospira spp,Leptospirosis,Zoonoses,bacteria,Small rodents,Rodents,Environment sampling,Terrestrial,No,Field study,Knowledge gaps,Land Use Change,Direct,No,Indirect,NA,"In contrast, we identified an unexpected association between the presence of L. interrogans and reduced forest cover at a site, which may indicate that transmission is favored in more cleared (and disturbed) habitats [6,66]. However, this trend may be related to the ecology of the dominant rodent species assessed in this study. Across Southeast Asia, both members of the R. rattus super-group and S. muelleri are often found at higher abundance in disturbed and urban habitats compared to more pristine, forested habitats [67,68].","In recent years, several leptospirosis outbreaks in Malaysia have been linked to outdoor activities (e.g. hiking, water-sports) in natural environments [23,42]. Reflective of this risk, both species of Leptospira were detected in vegetated areas across the landscape in this study. Infected rodents were detected in disturbed forests, recreational parks and vacant lots, all of which are utilized to varying degrees by people, and which provide additional interfaces for human exposure to Leptospira. Across our study sites, city parks are used extensively for sporting and social activities, vacant lots for edible plant foraging and small-scale fruit and vegetable cultivation (personal observation), and disturbed forests for farming, hunting and foraging, as well as recreational activities [64,65].",NA,"It is therefore possible that rodent population density, which was not measured here but did appear low in forested areas, is a factor that inhibits Leptospira spp. transmission. Alternatively, the lower infection prevalence observed at sites characterized by high forest cover may simply be a result of the relatively small number of rodents trapped at these sites. However, it may be worth noting that although sewers were accounted for by the variable ‘trap location’ in our analyses, they were not part of the variable ‘water body’ due to their artificial nature and the inconsistent presence of water in this environment.",NA,NA,Medium,Medium,,Medium,Medium,AF,High,TRUE,FALSE
Original article,Web of science,10.1111/tmi.13196.,"The role of deforestation on American cutaneous leishmaniasis incidence: spatial-temporal distribution, environmental and socioeconomic factors associated in the Brazilian Amazon",2019,English,no,Brazil,Brazil,Regional,Disease dynamics at the human/wildlife/livestock/ pathogen interface at degraded landscapes,Leishmaniasis,Leishmaniasis,Vector-borne,protozoan,Sand fly spp,Sand fly,Historical data,Terrestrial,No,Hypothesis/theoretical,Model,Land Use Change,Direct,No,Indirect,NA,"the negative association identified between proportional increase in deforestation and average incidence of ACL in Amazonas corroborates similar results found in studies of other endemic Amazonian diseases that suggest a negative association with continuous deforestation, since it lengthens the distance between habitations and forest, thus decreasing the contact between host and the vector, the same possibly occurring for ACL 21, 22. Continuous deforestation tends to increase the distance between families and forest (vector habitat and parasite cycle), reducing the contact between man and vectors. Contrastingly, it is likely that areas of recent deforestation may also contribute to the transmission of ACL, since deforestation is mainly caused by disordered occupation, road construction, agriculture, and livestock activities, placing individuals in close proximity to the vector 24-26.","Most local activities focus on rubber tapping (extractivism) and ecotourism, exposing these individuals to vectors as they enter the forest. In addition to the construction, vectors are attracted by house lights, which allow an intra and peridomiciliary transmission cycle 23, 28.",NA,"Possible underreporting of ACL cases due to issues associated with coverage and access to health services offered to the population and misdiagnosis of cases in Amazonas might pose a limitation in this study. However, inclusion of variables that account for this issue was carried out here.",NA,NA,Medium,Medium,,Medium,Medium,AF,High,TRUE,FALSE
Original article,Web of science,10.1186/s12936-019-2744-8.,"Effects of anthropogenic landscape changes on the abundance and acrodendrophily of Anopheles (Kerteszia) cruzii, the main vector of malaria parasites in the Atlantic Forest in Brazil",2019,English,yes,Brazil,Brazil,Regional,Disease dynamics at the human/wildlife/livestock/ pathogen interface at degraded landscapes,Malaria,Malaria,Vector-borne,protozoan,Mosquito,Mosquito,Environment sampling,Terrestrial,No,Field study,Lessons learnt,Land Use Change,Direct,No,Indirect,NA,"The models with the best fits suggest that a loss of natural vegetation leads to a reduction in An. cruzii abundance, while an increase in the edge effect due to fragmentation and suppression of forest areas may favour greater activity by this species near ground level, which in turn may increase the contact rate between these mosquitoes and humans living on the edges of forest fragments where this species occurs.","The increase in human activity in areas on the edges of forest fragments or even inside the forest in itself represents an increase in the number of hosts available to the vector and to other mosquitoes in search of blood meal sources. It would, therefore, not be surprising to find that An. cruzii moves from the canopy to the ground more often in situations where humans and their domestic animals represent the nearest and most abundant sources of blood meals.",NA,"The main limitations of the present study include the small number of sites investigated and the fact that these are all in the same area, the Capivari-Monos EPA. In addition, it was not possible to observe the number of mosquitoes collected per human/hour in the tree canopy because Shannon traps could not be set up on suspended platforms with human collectors for logistical reasons. However, some of the laboratory work for these studies is still being carried out at the time of writing and data are therefore not yet available to compile with the data on abundance and acrodendrophily from the present study. This analysis should be done as part of a future study. The results of the present study should be viewed with some caution as the number of sampling points was small and the models for the frequency of this mosquito at ground level do not have a much better fit than the null model (unlike the models used to explain the abundance). ","As the role of these species of mosquitoes in malaria transmission in the Atlantic Forest is not yet known, other studies should be conducted in these areas to understand the vector–host transmission dynamics. There is a consensus among the various studies regarding the preference of An. cruzii for blood feeding in the tree canopy [2, 8, 14]. Nevertheless, variations in the biting activity of this mosquito in the canopy and at ground level have been observed in different locations, and few studies have sought to understand the factors that lead to these variations [20, 22,23,24, 26, 54]. Although competing models were tested for two different landscape scales (500 m and 1 km), there was no prior evidence to believe that a larger landscape scale could better predict the variations in the abundance and acrodendrophily of An. cruzii than smaller, more local scale, or vice versa. Interestingly, the results suggest that a larger forest cover scale (1 km buffer) better predicts variations in the mosquito population abundance; while a smaller landscape scale (500 m buffer) better predicts variations in the acrodendrophily behaviour. However, it was not investigated how these variables would respond to larger or smaller landscape scales besides those measured. ",NA,Medium,Medium,,Medium,Medium,AF,High,TRUE,FALSE
Original article,Web of science,10.1111/tmi.13244.,Forest disturbance and vector transmitted diseases in the lowland tropical rainforest of central Panama,2019,English,no,Panama,Panama,Local,Disease dynamics at the human/wildlife/livestock/ pathogen interface at degraded landscapes,NA,NA,Not Applicable,Not Applicable,"Mosquito, sandflies, biting-midges",Multiple,Environment sampling,Terrestrial,No,Field study,Lessons learnt,Land Use Change,Direct,indirect,None,"Mosquito species richness was higher in pristine forest settings, but colonist species including primary and secondary disease vectors dominated in forest disturbed sites. This shows that mosquito diversity can contribute to the dilution effect of mosquito-borne diseases. Overall species richness and abundance of Phlebotominae and Culicoides, including mainly climax species and likely disease vectors, were higher in pristine forest habitats, thus showing an amplification effect on the entomological risk mediated by higher biodiversity.","Our findings suggest that neglected tropical disease vectors such as Phlebotominae and Culicoides can increase disease risk in pristine forest habitats, meaning that the dilution of a zoonosis buffered by high biodiversity is context dependent. This may not simply be due to an inverse relationship between species diversity and forest disturbance, but rather to a higher risk of exposure to infectious bites for humans occupying pristine habitats, where major disease vectors prevail.",NA,NA,NA,"To achieve an integrated surveillance system for disease-causing pathogen in Panama, it will be necessary to know beforehand which arthropod species are present and could play a role in disease transmission. We add that changes in forest quality should also be considered when assessing arthropod-borne disease risk (but see the limitations of our work in Table S4).",NA,Medium,Medium,,Medium,Medium,AF,High,TRUE,FALSE
Original article,Web of science,10.1093/jme/tjac153.,"Occurrence of the Sylvatic Yellow Fever Vector Mosquito Haemagogus leucocelaenus (Diptera: Culicidae) in an Atlantic Forest Fragment of the Touristic State of Rio de Janeiro, Brazil",2022,English,yes,"Rio de Janeiro, Brazil ",Brazil,Local,Disease dynamics at the human/wildlife/livestock/ pathogen interface at degraded landscapes,Yellow fever ,Yellow fever ,Vector-borne,Virus,Haemagogus leucocelaenus Mosquito,Mosquito,Environment sampling,Terrestrial,No,Field study,Lessons learnt,Land Use Change,Direct,No,Indirect,NA,"the proximity of human populations to forest environments increases the risk of spreading disease from forest fragments to urban areas. Mosquitoes of the genera Haemagogus inhabit regions of tropical forests, are most active during the hottest hours of the day, and have acrodendrophilic habits. These mosquitoes rarely leave the woods and so are exposed to the meteorological factors of the forest fragments they inhabit Our findings showed that the highest egg abundance occurred in December 2019, with a significant difference (p = 0.005) between rainy and dry seasons. Finally, we assessed the behavior of different vector species performing oviposition on the same breeding site. The highest correlation coefficient was observed between Ae. albopictus and Ae. terrens (rho = 0.52) concerning other Culicidae species. Therefore, we believe that Culicidae population surveillance is crucial for disease monitoring since the increase in specimens of a number of vector species influences the emergence of yellow fever cases in nonhuman primates and human populations.",NA,NA,NA,NA,NA,Medium,Medium,,Medium,Medium,SJ,High,TRUE,FALSE
Original article,Web of science,10.1186/s13071-019-3627-0.,"Effect of different habitat types on abundance and biting times of Anopheles balabacensis Baisas (Diptera: Culicidae) in Kudat district of Sabah, Malaysia",2019,English,yes,"Sabah, Malaysia",Malaysia,Local,Disease dynamics at the human/wildlife/livestock/ pathogen interface at degraded landscapes,NA,Malaria,Vector-borne,protozoan,Mosquito,Mosquito,Environment sampling,Terrestrial,No,Field study,Lessons learnt,Land Use Change,Direct,No,None,NA,"Our findings suggest that An. balabacensis is adaptable and able to thrive in the man-made environment, with relatively high densities in plantation and farm areas. This is evident by the presence of An. balabacensis breeding sites observed in oil palm plantation near to human settlements. The shrub-bush habitat recorded the highest number of Anopheles species. This could be a result of shrub and bushes providing ample refuge areas for resting before and after blood meals [56], and shade for the breeding sites in both permanent and temporary water bodies. In the Paradason area, this bush habitat was observed in close proximity to human settlements, farms, plantations and deforested areas, which could be a source of infective Anopheles. Although forest activities have previously been associated with increased human risk of P. knowlesi within this area [61], GLMM analysis indicated that there was no difference in number of An. balabacensis caught at various habitat types, indicating individuals have a risk of being exposed to an infected mosquito across habitat types.",NA,NA,NA,"Further work is needed to characterise the breeding sites within these different habitats. While limited numbers of infected An. balabacensis were caught, the presence of infected vectors in oil palm estates demonstrates the need for vector control measures targeting these habitats. Furthermore, mixed infections with P. knowlesi and other zoonotic malaria species illustrates the potential for spillover into human populations and the need for further surveillance.",NA,Medium,Medium,,Medium,Medium,AF,High,TRUE,FALSE
Original article,Web of science,10.1007/s10980-019-00898-5.,"Habitat amount, quality, and fragmentation associated with prevalence of the tick-borne pathogen Ehrlichia chaffeensis and occupancy dynamics of its vector, Amblyomma americanum",2019,English,no,"Virginia, USA",USA,Local,Disease dynamics at the human/wildlife/livestock/ pathogen interface at degraded landscapes,Ehrlichiosis ,Ehrlichiosis ,Vector-borne,bacteria,"Ehrlichia chaffeensis, Lone-star tick",Ticks,Environment sampling,Terrestrial,Yes,Field study,Knowledge gaps,Land Use Change,Direct,No,None,NA,"However, we found pathogen prevalence was negatively associated with both forest cover and edge, such that prevalence was highest in areas of low forest cover and low fragmentation, where we predicted it to be lowest (Fig. 4). Similarly, tick turnover was lowest in these areas where we predicted it to be high. At first, it appears that pathogen prevalence and tick turnover were at least themselves related as we expected (i.e. high prevalence, low turnover, and vice versa), but neither is this the case. Because of the interactive effects of forest cover and edge on tick turnover, turnover is also predicted to be low where prevalence is low (Fig. 4). Altogether, our results suggest that either E. chaffeensis prevalence is not driven by reservoir-host density or that host density is not affected by habitat amount and fragmentation as we hypothesized. Lowest prevalence, on the other hand, is predicted in highly forested but fragmented areas of coniferous forest. This means that forests managed for timber may be relatively safe, but areas like suburban parks may have a higher risk of disease.",NA,NA,"It is also important for us to acknowledge the difficulty of modeling rare events. Despite finding evidence for landscape effects in this study, we should also consider that E. chaffeensis prevalence and A. americanum turnover were both very low, which means our results can be very sensitive to each event (i.e. detection or extinction). This sensitivity could reduce our models’ predictive power. With that in mind, our study should not be taken to provide robust estimates of spatial disease risk, but instead as a foundation for further analysis.",NA,"Altogether, this and previous work make it clear the field needs focus on mechanisms driving landscape-scale variation in the prevalence of tick-borne pathogens. Valuable work has been done at broad, continental scales (e.g. Wimberly et al. 2008, Liu et al. 2017), but more studies like ours are necessary to robustly connect these coarse-grained analyses to local processes. It is thus imperative to understand where it is found and why. Moreover, it is still unclear whether the progress made in Lyme disease ecology is generalizable to pathogens carried by different hosts.",Low,Medium,,Low,High,AF,High,TRUE,FALSE
Review,Web of science,10.1016/j.actatropica.2022.106462,Interaction between Old World fruit bats and humans: From large scale ecosystem services to zoonotic diseases,2022,English,no,Global,Global,Global,Disease dynamics at the human/wildlife/livestock/ pathogen interface at degraded landscapes,NA,NA,Zoonoses,multiple,Rousettus sp (bat),Bats,Historical data,Terrestrial,Yes,Review,Lessons learnt,Land Use Change,Direct,indirect,Indirect,Rousettus are important members of local vertebrate communities and provide ecosystem services in the form of seed dispersal and flower pollination that are essential for the maintenance and regeneration of forest habitats. Members of this genus play a significant role in extending forest cover across large areas of tropical and subtropical habitats.,"Decrease in the range of natural forest and destruction of natural habitats of Rousettus via human activities result in reduced food resources for Rousettus. This can affect their feeding behaviour with increased consumption of cultivated fruits and contact with people and, in turn, the possibility of bat infectious disease spillover. Large-scale conversion of forested areas into agricultural landscapes has increased contact between humans and Rousettus, therefore augmenting the chances of infectious agent spillover. ",NA,NA,NA,"Transmission of vector-borne pathogens, like those of Peribunyaviridae, by hematophagous ectoparasites, might be possible. However, this transmission route requires further investigation. Many crucial scientific details are still lacking related to members of this genus, which have direct bearing on the prevention of emerging disease outbreaks, as well as the conservation of these bats. ","Conservation programs should be promoted to increase protection of Rousettus and their natural habitats, so that they continue their role with respect to ecosystem services and reduce their proximity to people. Further multidisciplinary research on infection dynamics, transmission mode and evolution of Rousettus pathogens is also critical to understand and prevent any risk of future outbreaks. The public should be better informed on the capacity of fruit bats as keystone species for large scale forest regeneration and in spreading pathogens. Precise details on the transmission of zoonotic diseases of public health importance associated with Rousettus should be given high priority.",Medium,,Medium,Medium,Medium,SJ,High,TRUE,FALSE
Original article,Web of science,10.1088/1748-9326/ac9ece.,"Linking Lyme disease ecology and epidemiology: reservoir host identity, not richness, determines tick infection and human disease in California",2022,English,no,"California, USA",USA,Regional,Disease dynamics at the human/wildlife/livestock/ pathogen interface at degraded landscapes,Lyme disease,Lyme disease,Vector-borne,bacteria,Ixodes pacificus ticks,Ticks,Environment sampling,Terrestrial,Yes,Field study,Lessons learnt,Land Use Change,Direct,No,Direct,NA,"the ecology of key reservoir hosts—particularly dusky-footed woodrats—is central to disease risk posed by ticks, but that host community richness is not strongly associated with tick infection. Predicted disease risk, which is most strongly influenced by the ecology of dusky-footed woodrats, in turn is a strong predictor of human LDI. This relationship holds in the Wildland-Urban Interface, but not in open access public lands, and is stronger in northern California than in the state as a whole. This suggests peridomestic exposure to infected ticks may be more important to LD epidemiology in California than recreational exposure, and underlines the importance of the community ecology of LD in determining human transmission risk throughout this LD endemic region of far western North America. ",NA,NA,", there were not sufficient infected tick observations from multiple distinct time periods to model changes in infected tick suitability over time.  due to uncertainties surrounding where exposure to infected ticks led to LD transmission for reported cases, some aggregation (e.g. to zip codes) is necessary, as bias may also be a problem with individual level data in this context—for example, if location of infected tick exposure is unknown, yet the resulting case is reported at the individual household level.","his increasingly available longitudinal surveillance data—coupled with Earth observation data, climate forecasts and models of future vertebrate host distributions—could further improve understanding and more rapid forecasts of changing risk and transmission in response to global environmental change.","More targeted tick and pathogen surveillance, coupled with studies of human and tick behavior could improve understanding of key risk factors and inform public health interventions. Moreover, longitudinal surveillance data could further improve forecasts of disease risk in response to global environmental change.",Medium,Medium,,Medium,Medium,SJ,High,TRUE,FALSE
Original article,Web of science,10.1111/1365-2664.14274,"Predicting spatio-temporal population patterns of Borrelia burgdorferi, the Lyme disease pathogen",2022,English,yes,"New York State, USA",USA,Regional,Disease dynamics at the human/wildlife/livestock/ pathogen interface at degraded landscapes,Lyme disease,Lyme disease,Vector-borne,bacteria,Ixodid ticks,Ticks,Environment sampling,Terrestrial,Yes,Field study,Lessons learnt,Land Use Change,Direct,No,Indirect,NA,"B. burgdorferi prevalence is associated with landscape features that measure habitat disturbance (i.e. recent fires and roads). the model indicates that NIP is negatively associated with landscape features representing habitat disturbance like recent wildfire, patch connectivity, human population size and critical environment designations. However, some features like wildfire affect the continuity of fauna and can increase the abundance of small mammal and generalist species, which are thought to provide more optimal pathogen conditions (Roberts et al., 2015). This apparent contradiction may be explained by the positive association between habitat fragmentation and tick population sizes",NA,NA,some inaccurate predictions can be attributed to environmental feature values beyond the range observed in the training data (i.e. temperature and precipitation). Interpretation of both the model predictions and environmental drivers should be approached with caution. cross-validation during model development also girds against overfitting and demonstrates the predictive accuracy to out-of-sample years ,"Given that the impact of fire is likely additive and indirect, multivariate regression models encompassing landscape type and distance to fire provide further insight into possible relationships between different environmental features. Importantly, it is possible that the results could be extrapolated to collect ticks in regions with similar climate and landscape outside NYS. This method affords an inexpensive and rapid approach to address a future forecasted with more frequent zoonotic disease outbreaks ","The influence of environmental factors on NIP suggests that land management strategies and preventative behaviour, in addition to methods targeting transmission in animal hosts, can be important mitigation strategies ",Medium,Medium,,Medium,Medium,SJ,High,TRUE,FALSE
